@relation badges

@attribute length numeric
@attribute even_odd {0,1}
@attribute first_char_vowel {0,1}
@attribute second_char_vowel {0,1}
@attribute vowels numeric
@attribute consonants numeric
@attribute vowel_consonant_ratio numeric
@attribute spaces numeric
@attribute dots numeric
@attribute words numeric
@attribute class {-,+}

@data
12,1,0,1,5,6,0.83,1,0,2,+
13,0,0,1,3,7,0.43,2,1,3,+
12,1,0,1,5,6,0.83,1,0,2,+
16,1,0,1,5,10,0.5,1,0,2,+
13,0,0,1,4,8,0.5,1,0,2,+
17,0,0,1,5,9,0.56,2,1,3,+
10,1,0,1,4,5,0.8,1,0,2,+
16,1,0,0,5,10,0.5,1,0,2,-
15,0,0,1,5,9,0.56,1,0,2,+
15,0,0,0,5,9,0.56,1,0,2,-
9,0,0,1,5,3,1.67,1,0,2,+
11,0,1,0,4,6,0.67,1,0,2,-
15,0,0,1,4,10,0.4,1,0,2,+
12,1,0,1,4,7,0.57,1,0,2,+
20,1,0,1,8,11,0.73,1,0,2,+
17,0,0,1,4,10,0.4,2,1,3,+
12,1,0,0,3,8,0.38,1,0,2,-
14,1,0,0,5,8,0.62,1,0,2,-
12,1,0,0,4,7,0.57,1,0,2,-
17,0,0,1,6,10,0.6,1,0,2,+
16,1,1,0,8,7,1.14,1,0,2,-
17,0,0,1,5,9,0.56,2,1,3,+
15,0,0,1,5,9,0.56,1,0,2,+
13,0,0,1,4,8,0.5,1,0,2,+
10,1,0,1,3,6,0.5,1,0,2,+
21,0,0,1,7,12,0.58,2,0,3,+
20,1,1,0,6,11,0.55,2,1,3,-
12,1,0,1,3,8,0.38,1,0,2,+
14,1,0,0,4,9,0.44,1,0,2,-
13,0,0,0,4,8,0.5,1,0,2,-
20,1,0,0,6,11,0.55,2,1,3,-
16,1,1,0,6,9,0.67,1,0,2,-
18,1,0,0,4,11,0.36,2,1,3,-
15,0,0,1,5,9,0.56,1,0,2,+
15,0,0,0,3,9,0.33,2,1,3,-
10,1,0,1,3,6,0.5,1,0,2,+
13,0,0,0,4,8,0.5,1,0,2,-
11,0,0,1,3,7,0.43,1,0,2,+
12,1,0,1,5,6,0.83,1,0,2,+
20,1,0,1,8,11,0.73,1,0,2,+
13,0,1,0,5,7,0.71,1,0,2,-
12,1,0,1,3,8,0.38,1,0,2,+
11,0,0,1,4,6,0.67,1,0,2,+
16,1,0,1,4,9,0.44,2,1,3,+
14,1,0,1,5,8,0.62,1,0,2,+
11,0,0,1,3,7,0.43,1,0,2,+
13,0,0,1,4,8,0.5,1,0,2,+
11,0,0,1,4,6,0.67,1,0,2,+
16,1,0,0,5,8,0.62,2,1,3,-
16,1,1,0,8,7,1.14,1,0,2,-
20,1,0,0,5,12,0.42,2,1,3,-
11,0,0,1,3,7,0.43,1,0,2,+
12,1,1,0,5,6,0.83,1,0,2,-
8,1,0,1,3,4,0.75,1,0,2,+
10,1,0,1,4,5,0.8,1,0,2,+
15,0,0,1,4,8,0.5,2,1,3,+
14,1,0,1,4,7,0.57,2,1,3,+
10,1,1,0,4,5,0.8,1,0,2,-
15,0,0,1,5,9,0.56,1,0,2,+
16,1,0,0,4,9,0.44,2,1,3,-
19,0,0,0,6,11,0.55,2,0,3,-
16,1,0,1,4,9,0.44,2,1,3,+
13,0,0,1,4,8,0.5,1,0,2,+
19,0,0,1,5,13,0.38,1,0,2,+
17,0,0,0,5,9,0.56,2,1,3,-
15,0,0,1,4,8,0.5,2,1,3,+
17,0,0,1,6,10,0.6,1,0,2,+
14,1,0,1,4,9,0.44,1,0,2,+
12,1,1,1,6,5,1.2,1,0,2,+
17,0,0,1,7,7,1,2,1,3,+
17,0,0,1,8,8,1,1,0,2,+
16,1,0,1,4,9,0.44,2,1,3,+
14,1,0,1,3,8,0.38,2,1,3,+
13,0,0,0,6,6,1,1,0,2,-
11,0,0,1,4,6,0.67,1,0,2,+
16,1,0,1,5,10,0.5,1,0,2,+
12,1,0,1,4,7,0.57,1,0,2,+
14,1,0,1,5,8,0.62,1,0,2,+
14,1,0,1,6,7,0.86,1,0,2,+
10,1,0,1,4,5,0.8,1,0,2,+
18,1,0,1,6,11,0.55,1,0,2,+
16,1,0,1,5,8,0.62,2,1,3,+
13,0,0,1,5,7,0.71,1,0,2,+
14,1,0,1,5,8,0.62,1,0,2,+
12,1,1,0,4,7,0.57,1,0,2,-
12,1,0,0,4,7,0.57,1,0,2,-
15,0,0,1,6,8,0.75,1,0,2,+
16,1,0,1,5,10,0.5,1,0,2,+
14,1,0,1,6,7,0.86,1,0,2,+
9,0,0,0,2,6,0.33,1,0,2,-
11,0,0,1,3,7,0.43,1,0,2,+
11,0,0,1,5,5,1,1,0,2,+
15,0,0,1,4,8,0.5,2,1,3,+
11,0,0,0,3,7,0.43,1,0,2,-
18,1,0,1,7,8,0.88,2,1,3,+
14,1,0,1,5,8,0.62,1,0,2,+
15,0,0,1,5,9,0.56,1,0,2,+
17,0,0,1,4,10,0.4,2,1,3,+
12,1,0,1,4,7,0.57,1,0,2,+
